"id","citizen_id","plate_number","make","model","color","manufacture_year","chassis_number","engine_number","registration_date"
"18","18","T018ABC","Ford","Vitz","Red","2018","CHS0000000018","ENG0000000018","6/4/2024 12:00:00 AM"
"19","19","T019ABC","Ford","Premio","Gray","2019","CHS0000000019","ENG0000000019","12/12/2025 12:00:00 AM"
"20","20","T020ABC","Nissan","Polo","Green","2020","CHS0000000020","ENG0000000020","5/19/2021 12:00:00 AM"
"21","21","T021ABC","Isuzu","Vitz","Black","2021","CHS0000000021","ENG0000000021","12/15/2022 12:00:00 AM"
"22","22","T022ABC","Suzuki","Polo","Silver","2022","CHS0000000022","ENG0000000022","5/9/2023 12:00:00 AM"
"23","23","T023ABC","Nissan","Noah","White","2023","CHS0000000023","ENG0000000023","12/13/2022 12:00:00 AM"
"24","24","T024ABC","Ford","Rio","Blue","2000","CHS0000000024","ENG0000000024","7/2/2022 12:00:00 AM"
"25","25","T025ABC","Kia","Corolla","Red","2001","CHS0000000025","ENG0000000025","6/28/2023 12:00:00 AM"
"26","26","T026ABC","Suzuki","Alto","Green","2002","CHS0000000026","ENG0000000026","7/18/2021 12:00:00 AM"
"27","27","T027ABC","Nissan","Premio","Red","2003","CHS0000000027","ENG0000000027","3/5/2024 12:00:00 AM"
"28","28","T028ABC","Honda","RAV4","Green","2004","CHS0000000028","ENG0000000028","3/23/2021 12:00:00 AM"
"29","29","T029ABC","Honda","RAV4","White","2005","CHS0000000029","ENG0000000029","9/29/2024 12:00:00 AM"
"30","30","T030ABC","Toyota","Alto","Silver","2006","CHS0000000030","ENG0000000030","5/23/2023 12:00:00 AM"
"31","31","T031ABC","Volkswagen","Noah","Silver","2007","CHS0000000031","ENG0000000031","6/6/2022 12:00:00 AM"
"32","32","T032ABC","Volkswagen","Hilux","White","2008","CHS0000000032","ENG0000000032","12/24/2023 12:00:00 AM"
"33","33","T033ABC","Kia","RAV4","White","2009","CHS0000000033","ENG0000000033","11/21/2020 12:00:00 AM"
"34","34","T034ABC","Isuzu","RAV4","Gray","2010","CHS0000000034","ENG0000000034","8/19/2023 12:00:00 AM"
"35","35","T035ABC","Hyundai","Hilux","Black","2011","CHS0000000035","ENG0000000035","9/24/2025 12:00:00 AM"
"36","36","T036ABC","Isuzu","Canter","White","2012","CHS0000000036","ENG0000000036","9/5/2024 12:00:00 AM"
"37","37","T037ABC","Isuzu","Polo","Green","2013","CHS0000000037","ENG0000000037","8/4/2021 12:00:00 AM"
"38","38","T038ABC","Hyundai","Alto","Black","2014","CHS0000000038","ENG0000000038","10/17/2021 12:00:00 AM"
"39","39","T039ABC","Volkswagen","Corolla","Gray","2015","CHS0000000039","ENG0000000039","3/2/2021 12:00:00 AM"
"40","40","T040ABC","Suzuki","Premio","Blue","2016","CHS0000000040","ENG0000000040","9/9/2025 12:00:00 AM"
"41","41","T041ABC","Mitsubishi","Rio","Gray","2017","CHS0000000041","ENG0000000041","1/17/2021 12:00:00 AM"
"42","42","T042ABC","Isuzu","Polo","Green","2018","CHS0000000042","ENG0000000042","4/22/2021 12:00:00 AM"
"43","43","T043ABC","Honda","Canter","Green","2019","CHS0000000043","ENG0000000043","2/15/2025 12:00:00 AM"
"44","44","T044ABC","Isuzu","Noah","Black","2020","CHS0000000044","ENG0000000044","3/17/2021 12:00:00 AM"
"45","45","T045ABC","Nissan","RAV4","Silver","2021","CHS0000000045","ENG0000000045","4/13/2025 12:00:00 AM"
"46","46","T046ABC","Isuzu","Polo","Gray","2022","CHS0000000046","ENG0000000046","11/30/2021 12:00:00 AM"
"47","47","T047ABC","Kia","Vitz","Black","2023","CHS0000000047","ENG0000000047","3/4/2021 12:00:00 AM"
"48","48","T048ABC","Honda","Alto","White","2000","CHS0000000048","ENG0000000048","2/13/2022 12:00:00 AM"
"49","49","T049ABC","Ford","Premio","Red","2001","CHS0000000049","ENG0000000049","8/27/2021 12:00:00 AM"
"50","50","T050ABC","Hyundai","Polo","Blue","2002","CHS0000000050","ENG0000000050","5/15/2022 12:00:00 AM"
"51","51","T051ABC","Hyundai","Alto","Red","2003","CHS0000000051","ENG0000000051","12/1/2021 12:00:00 AM"
"52","52","T052ABC","Volkswagen","Canter","White","2004","CHS0000000052","ENG0000000052","2/20/2023 12:00:00 AM"
"53","53","T053ABC","Volkswagen","Alto","White","2005","CHS0000000053","ENG0000000053","7/14/2020 12:00:00 AM"
"54","54","T054ABC","Mitsubishi","Alto","Red","2006","CHS0000000054","ENG0000000054","6/8/2023 12:00:00 AM"
"55","55","T055ABC","Nissan","Premio","Silver","2007","CHS0000000055","ENG0000000055","5/23/2023 12:00:00 AM"
"56","56","T056ABC","Suzuki","Vitz","Red","2008","CHS0000000056","ENG0000000056","10/6/2025 12:00:00 AM"
"57","57","T057ABC","Mitsubishi","Canter","Silver","2009","CHS0000000057","ENG0000000057","1/3/2025 12:00:00 AM"
"58","58","T058ABC","Volkswagen","Corolla","Black","2010","CHS0000000058","ENG0000000058","12/23/2021 12:00:00 AM"
"59","59","T059ABC","Kia","Vitz","White","2011","CHS0000000059","ENG0000000059","7/18/2023 12:00:00 AM"
"60","60","T060ABC","Nissan","Canter","Red","2012","CHS0000000060","ENG0000000060","4/24/2022 12:00:00 AM"
"61","61","T061ABC","Volkswagen","Polo","Blue","2013","CHS0000000061","ENG0000000061","3/19/2025 12:00:00 AM"
"62","62","T062ABC","Ford","Corolla","White","2014","CHS0000000062","ENG0000000062","12/9/2025 12:00:00 AM"
"63","63","T063ABC","Volkswagen","Corolla","White","2015","CHS0000000063","ENG0000000063","5/26/2022 12:00:00 AM"
"64","64","T064ABC","Ford","Rio","Green","2016","CHS0000000064","ENG0000000064","7/9/2020 12:00:00 AM"
"65","65","T065ABC","Kia","Vitz","Green","2017","CHS0000000065","ENG0000000065","9/16/2020 12:00:00 AM"
"66","66","T066ABC","Mitsubishi","Hilux","Gray","2018","CHS0000000066","ENG0000000066","1/17/2024 12:00:00 AM"
"67","67","T067ABC","Isuzu","Alto","Silver","2019","CHS0000000067","ENG0000000067","3/26/2023 12:00:00 AM"
"68","68","T068ABC","Ford","Corolla","Blue","2020","CHS0000000068","ENG0000000068","11/6/2023 12:00:00 AM"
"69","69","T069ABC","Volkswagen","Polo","Gray","2021","CHS0000000069","ENG0000000069","12/14/2023 12:00:00 AM"
"70","70","T070ABC","Mitsubishi","Polo","Black","2022","CHS0000000070","ENG0000000070","1/9/2022 12:00:00 AM"
"71","71","T071ABC","Honda","Noah","White","2023","CHS0000000071","ENG0000000071","3/18/2024 12:00:00 AM"
"72","72","T072ABC","Kia","Corolla","Red","2000","CHS0000000072","ENG0000000072","12/12/2025 12:00:00 AM"
"73","73","T073ABC","Hyundai","Rio","Red","2001","CHS0000000073","ENG0000000073","5/25/2022 12:00:00 AM"
"74","74","T074ABC","Honda","Premio","White","2002","CHS0000000074","ENG0000000074","2/4/2023 12:00:00 AM"
"75","75","T075ABC","Toyota","Polo","Red","2003","CHS0000000075","ENG0000000075","8/23/2025 12:00:00 AM"
"76","76","T076ABC","Hyundai","Premio","Black","2004","CHS0000000076","ENG0000000076","1/16/2024 12:00:00 AM"
"77","77","T077ABC","Honda","Premio","Red","2005","CHS0000000077","ENG0000000077","9/6/2024 12:00:00 AM"
"78","78","T078ABC","Toyota","Noah","Gray","2006","CHS0000000078","ENG0000000078","11/30/2020 12:00:00 AM"
"79","79","T079ABC","Mitsubishi","Alto","Blue","2007","CHS0000000079","ENG0000000079","8/19/2020 12:00:00 AM"
"80","80","T080ABC","Nissan","Hilux","Gray","2008","CHS0000000080","ENG0000000080","7/16/2021 12:00:00 AM"
"81","81","T081ABC","Kia","Hilux","Red","2009","CHS0000000081","ENG0000000081","5/17/2024 12:00:00 AM"
"82","82","T082ABC","Suzuki","Corolla","White","2010","CHS0000000082","ENG0000000082","11/4/2021 12:00:00 AM"
"83","83","T083ABC","Hyundai","RAV4","Red","2011","CHS0000000083","ENG0000000083","12/18/2022 12:00:00 AM"
"84","84","T084ABC","Isuzu","Premio","Blue","2012","CHS0000000084","ENG0000000084","5/11/2020 12:00:00 AM"
"85","85","T085ABC","Hyundai","RAV4","White","2013","CHS0000000085","ENG0000000085","7/18/2022 12:00:00 AM"
"86","86","T086ABC","Mitsubishi","Rio","Green","2014","CHS0000000086","ENG0000000086","9/27/2023 12:00:00 AM"
"87","87","T087ABC","Nissan","Premio","White","2015","CHS0000000087","ENG0000000087","11/3/2025 12:00:00 AM"
"88","88","T088ABC","Kia","Rio","Black","2016","CHS0000000088","ENG0000000088","5/17/2025 12:00:00 AM"
"89","89","T089ABC","Toyota","RAV4","Green","2017","CHS0000000089","ENG0000000089","12/20/2023 12:00:00 AM"
"90","90","T090ABC","Hyundai","Alto","Silver","2018","CHS0000000090","ENG0000000090","1/29/2023 12:00:00 AM"
"91","91","T091ABC","Suzuki","Noah","Green","2019","CHS0000000091","ENG0000000091","5/3/2024 12:00:00 AM"
"92","92","T092ABC","Ford","Noah","Green","2020","CHS0000000092","ENG0000000092","11/30/2025 12:00:00 AM"
"93","93","T093ABC","Nissan","Canter","Silver","2021","CHS0000000093","ENG0000000093","5/16/2024 12:00:00 AM"
"94","94","T094ABC","Kia","RAV4","Green","2022","CHS0000000094","ENG0000000094","4/22/2020 12:00:00 AM"
"95","95","T095ABC","Isuzu","Corolla","Red","2023","CHS0000000095","ENG0000000095","3/8/2020 12:00:00 AM"
"96","96","T096ABC","Toyota","Corolla","Black","2000","CHS0000000096","ENG0000000096","3/12/2025 12:00:00 AM"
"97","97","T097ABC","Kia","Vitz","Blue","2001","CHS0000000097","ENG0000000097","3/25/2025 12:00:00 AM"
"98","98","T098ABC","Suzuki","Polo","Silver","2002","CHS0000000098","ENG0000000098","8/23/2021 12:00:00 AM"
"99","99","T099ABC","Isuzu","Alto","White","2003","CHS0000000099","ENG0000000099","8/11/2020 12:00:00 AM"
"100","100","T100ABC","Kia","Noah","White","2004","CHS0000000100","ENG0000000100","1/28/2025 12:00:00 AM"
"101","101","T101ABC","Honda","Corolla","Gray","2005","CHS0000000101","ENG0000000101","8/1/2022 12:00:00 AM"
"102","102","T102ABC","Volkswagen","Alto","Green","2006","CHS0000000102","ENG0000000102","4/22/2024 12:00:00 AM"
"103","103","T103ABC","Suzuki","Rio","Black","2007","CHS0000000103","ENG0000000103","10/5/2024 12:00:00 AM"
"104","104","T104ABC","Toyota","Hilux","Blue","2008","CHS0000000104","ENG0000000104","12/12/2021 12:00:00 AM"
"105","105","T105ABC","Kia","Hilux","Gray","2009","CHS0000000105","ENG0000000105","2/24/2025 12:00:00 AM"
"106","106","T106ABC","Hyundai","Corolla","Blue","2010","CHS0000000106","ENG0000000106","10/30/2021 12:00:00 AM"
"107","107","T107ABC","Isuzu","Rio","Blue","2011","CHS0000000107","ENG0000000107","2/3/2022 12:00:00 AM"
"108","108","T108ABC","Mitsubishi","Vitz","White","2012","CHS0000000108","ENG0000000108","5/24/2020 12:00:00 AM"
"109","109","T109ABC","Toyota","Vitz","Blue","2013","CHS0000000109","ENG0000000109","1/10/2020 12:00:00 AM"
"110","110","T110ABC","Isuzu","Rio","White","2014","CHS0000000110","ENG0000000110","9/28/2021 12:00:00 AM"
"111","111","T111ABC","Hyundai","Vitz","Black","2015","CHS0000000111","ENG0000000111","3/19/2023 12:00:00 AM"
"112","112","T112ABC","Suzuki","Premio","Silver","2016","CHS0000000112","ENG0000000112","5/2/2020 12:00:00 AM"
"113","113","T113ABC","Nissan","Alto","Silver","2017","CHS0000000113","ENG0000000113","1/16/2025 12:00:00 AM"
"114","114","T114ABC","Suzuki","Hilux","Green","2018","CHS0000000114","ENG0000000114","10/8/2022 12:00:00 AM"
"115","115","T115ABC","Suzuki","Canter","Silver","2019","CHS0000000115","ENG0000000115","9/17/2024 12:00:00 AM"
"116","116","T116ABC","Nissan","Canter","Black","2020","CHS0000000116","ENG0000000116","6/13/2024 12:00:00 AM"
"117","117","T117ABC","Hyundai","RAV4","Gray","2021","CHS0000000117","ENG0000000117","8/25/2021 12:00:00 AM"
"118","118","T118ABC","Ford","Premio","White","2022","CHS0000000118","ENG0000000118","11/7/2025 12:00:00 AM"
"119","119","T119ABC","Kia","Premio","White","2023","CHS0000000119","ENG0000000119","10/4/2020 12:00:00 AM"
"120","120","T120ABC","Ford","Corolla","Green","2000","CHS0000000120","ENG0000000120","1/19/2025 12:00:00 AM"
"121","121","T121ABC","Ford","Premio","Silver","2001","CHS0000000121","ENG0000000121","12/19/2023 12:00:00 AM"
"122","122","T122ABC","Honda","Noah","Red","2002","CHS0000000122","ENG0000000122","3/31/2025 12:00:00 AM"
"123","123","T123ABC","Volkswagen","Corolla","Blue","2003","CHS0000000123","ENG0000000123","4/8/2024 12:00:00 AM"
"124","124","T124ABC","Volkswagen","RAV4","White","2004","CHS0000000124","ENG0000000124","8/17/2021 12:00:00 AM"
"125","125","T125ABC","Mitsubishi","Alto","Gray","2005","CHS0000000125","ENG0000000125","9/3/2020 12:00:00 AM"
"126","126","T126ABC","Ford","Rio","Black","2006","CHS0000000126","ENG0000000126","2/10/2024 12:00:00 AM"
"127","127","T127ABC","Ford","Noah","Green","2007","CHS0000000127","ENG0000000127","10/11/2025 12:00:00 AM"
"128","128","T128ABC","Nissan","Polo","Gray","2008","CHS0000000128","ENG0000000128","12/3/2022 12:00:00 AM"
"129","129","T129ABC","Ford","RAV4","White","2009","CHS0000000129","ENG0000000129","2/27/2024 12:00:00 AM"
"130","130","T130ABC","Mitsubishi","Vitz","Silver","2010","CHS0000000130","ENG0000000130","4/13/2023 12:00:00 AM"
"131","131","T131ABC","Ford","Polo","Blue","2011","CHS0000000131","ENG0000000131","8/12/2023 12:00:00 AM"
"132","132","T132ABC","Kia","RAV4","Silver","2012","CHS0000000132","ENG0000000132","9/25/2023 12:00:00 AM"
"133","133","T133ABC","Mitsubishi","Vitz","Gray","2013","CHS0000000133","ENG0000000133","5/2/2020 12:00:00 AM"
"134","134","T134ABC","Isuzu","Vitz","Silver","2014","CHS0000000134","ENG0000000134","5/1/2024 12:00:00 AM"
"135","135","T135ABC","Toyota","Canter","White","2015","CHS0000000135","ENG0000000135","3/13/2022 12:00:00 AM"
"136","136","T136ABC","Suzuki","Alto","Gray","2016","CHS0000000136","ENG0000000136","5/17/2025 12:00:00 AM"
"137","137","T137ABC","Isuzu","Corolla","White","2017","CHS0000000137","ENG0000000137","11/17/2022 12:00:00 AM"
"138","138","T138ABC","Isuzu","Premio","Green","2018","CHS0000000138","ENG0000000138","10/8/2023 12:00:00 AM"
"139","139","T139ABC","Suzuki","Hilux","Black","2019","CHS0000000139","ENG0000000139","9/23/2024 12:00:00 AM"
"140","140","T140ABC","Suzuki","Polo","Gray","2020","CHS0000000140","ENG0000000140","6/17/2021 12:00:00 AM"
"141","141","T141ABC","Toyota","Noah","Red","2021","CHS0000000141","ENG0000000141","5/16/2022 12:00:00 AM"
"142","142","T142ABC","Toyota","Vitz","Silver","2022","CHS0000000142","ENG0000000142","7/1/2025 12:00:00 AM"
"143","143","T143ABC","Nissan","RAV4","Red","2023","CHS0000000143","ENG0000000143","3/13/2025 12:00:00 AM"
"144","144","T144ABC","Ford","Vitz","Silver","2000","CHS0000000144","ENG0000000144","2/27/2020 12:00:00 AM"
"145","145","T145ABC","Nissan","Alto","Black","2001","CHS0000000145","ENG0000000145","8/8/2025 12:00:00 AM"
"146","146","T146ABC","Mitsubishi","Vitz","Black","2002","CHS0000000146","ENG0000000146","5/7/2025 12:00:00 AM"
"147","147","T147ABC","Hyundai","Hilux","Red","2003","CHS0000000147","ENG0000000147","8/10/2020 12:00:00 AM"
"148","148","T148ABC","Mitsubishi","RAV4","Silver","2004","CHS0000000148","ENG0000000148","6/18/2021 12:00:00 AM"
"149","149","T149ABC","Volkswagen","Polo","Black","2005","CHS0000000149","ENG0000000149","12/14/2020 12:00:00 AM"
"150","150","T150ABC","Toyota","RAV4","Gray","2006","CHS0000000150","ENG0000000150","5/25/2023 12:00:00 AM"
"151","151","T151ABC","Hyundai","Hilux","Black","2007","CHS0000000151","ENG0000000151","5/28/2025 12:00:00 AM"
"152","152","T152ABC","Hyundai","Corolla","Green","2008","CHS0000000152","ENG0000000152","1/16/2024 12:00:00 AM"
"153","153","T153ABC","Toyota","RAV4","Red","2009","CHS0000000153","ENG0000000153","1/12/2025 12:00:00 AM"
"154","154","T154ABC","Suzuki","Vitz","Green","2010","CHS0000000154","ENG0000000154","12/29/2021 12:00:00 AM"
"155","155","T155ABC","Hyundai","Vitz","Blue","2011","CHS0000000155","ENG0000000155","8/9/2025 12:00:00 AM"
"156","156","T156ABC","Nissan","Hilux","Red","2012","CHS0000000156","ENG0000000156","8/26/2024 12:00:00 AM"
"157","157","T157ABC","Nissan","RAV4","White","2013","CHS0000000157","ENG0000000157","2/28/2025 12:00:00 AM"
"158","158","T158ABC","Suzuki","Rio","Green","2014","CHS0000000158","ENG0000000158","12/14/2024 12:00:00 AM"
"159","159","T159ABC","Hyundai","Vitz","White","2015","CHS0000000159","ENG0000000159","3/20/2021 12:00:00 AM"
"160","160","T160ABC","Mitsubishi","Premio","White","2016","CHS0000000160","ENG0000000160","12/2/2024 12:00:00 AM"
"161","161","T161ABC","Nissan","Rio","White","2017","CHS0000000161","ENG0000000161","9/16/2025 12:00:00 AM"
"162","162","T162ABC","Volkswagen","Premio","Gray","2018","CHS0000000162","ENG0000000162","12/22/2025 12:00:00 AM"
"163","163","T163ABC","Hyundai","Corolla","Silver","2019","CHS0000000163","ENG0000000163","11/21/2021 12:00:00 AM"
"164","164","T164ABC","Volkswagen","Polo","Blue","2020","CHS0000000164","ENG0000000164","5/3/2024 12:00:00 AM"
"165","165","T165ABC","Honda","Canter","Gray","2021","CHS0000000165","ENG0000000165","7/1/2022 12:00:00 AM"
"166","166","T166ABC","Kia","Hilux","Silver","2022","CHS0000000166","ENG0000000166","4/20/2020 12:00:00 AM"
"167","167","T167ABC","Suzuki","Polo","White","2023","CHS0000000167","ENG0000000167","5/23/2024 12:00:00 AM"
"168","168","T168ABC","Ford","Vitz","Green","2000","CHS0000000168","ENG0000000168","8/12/2022 12:00:00 AM"
"169","169","T169ABC","Ford","Vitz","Gray","2001","CHS0000000169","ENG0000000169","4/17/2021 12:00:00 AM"
"170","170","T170ABC","Toyota","Alto","White","2002","CHS0000000170","ENG0000000170","2/15/2024 12:00:00 AM"
"171","171","T171ABC","Ford","Corolla","Green","2003","CHS0000000171","ENG0000000171","10/16/2022 12:00:00 AM"
"172","172","T172ABC","Volkswagen","Alto","White","2004","CHS0000000172","ENG0000000172","8/30/2025 12:00:00 AM"
"173","173","T173ABC","Mitsubishi","RAV4","Red","2005","CHS0000000173","ENG0000000173","12/9/2024 12:00:00 AM"
"174","174","T174ABC","Ford","Alto","Green","2006","CHS0000000174","ENG0000000174","7/29/2020 12:00:00 AM"
"175","175","T175ABC","Volkswagen","Corolla","Blue","2007","CHS0000000175","ENG0000000175","9/19/2025 12:00:00 AM"
"176","176","T176ABC","Suzuki","Corolla","Black","2008","CHS0000000176","ENG0000000176","1/30/2021 12:00:00 AM"
"177","177","T177ABC","Toyota","Polo","Red","2009","CHS0000000177","ENG0000000177","5/26/2020 12:00:00 AM"
"178","178","T178ABC","Nissan","Noah","Red","2010","CHS0000000178","ENG0000000178","7/31/2025 12:00:00 AM"
"179","179","T179ABC","Honda","Hilux","Gray","2011","CHS0000000179","ENG0000000179","4/2/2025 12:00:00 AM"
"180","180","T180ABC","Nissan","Vitz","Black","2012","CHS0000000180","ENG0000000180","7/1/2024 12:00:00 AM"
"181","181","T181ABC","Volkswagen","Corolla","Black","2013","CHS0000000181","ENG0000000181","10/26/2021 12:00:00 AM"
"182","182","T182ABC","Toyota","Hilux","Gray","2014","CHS0000000182","ENG0000000182","12/28/2025 12:00:00 AM"
"183","183","T183ABC","Hyundai","Alto","Blue","2015","CHS0000000183","ENG0000000183","2/21/2020 12:00:00 AM"
"184","184","T184ABC","Toyota","Corolla","Silver","2016","CHS0000000184","ENG0000000184","9/11/2023 12:00:00 AM"
"185","185","T185ABC","Volkswagen","Vitz","Black","2017","CHS0000000185","ENG0000000185","4/22/2025 12:00:00 AM"
"186","186","T186ABC","Toyota","Rio","Gray","2018","CHS0000000186","ENG0000000186","8/13/2020 12:00:00 AM"
"187","187","T187ABC","Volkswagen","Vitz","Silver","2019","CHS0000000187","ENG0000000187","5/22/2023 12:00:00 AM"
"188","188","T188ABC","Hyundai","Rio","Green","2020","CHS0000000188","ENG0000000188","10/27/2025 12:00:00 AM"
"189","189","T189ABC","Ford","Vitz","Silver","2021","CHS0000000189","ENG0000000189","12/16/2021 12:00:00 AM"
"190","190","T190ABC","Ford","Corolla","White","2022","CHS0000000190","ENG0000000190","6/21/2025 12:00:00 AM"
"191","191","T191ABC","Toyota","Alto","Silver","2023","CHS0000000191","ENG0000000191","1/11/2023 12:00:00 AM"
"192","192","T192ABC","Volkswagen","Alto","Gray","2000","CHS0000000192","ENG0000000192","10/18/2022 12:00:00 AM"
"193","193","T193ABC","Hyundai","Hilux","White","2001","CHS0000000193","ENG0000000193","2/17/2022 12:00:00 AM"
"194","194","T194ABC","Mitsubishi","Premio","Gray","2002","CHS0000000194","ENG0000000194","11/18/2024 12:00:00 AM"
"195","195","T195ABC","Isuzu","RAV4","Red","2003","CHS0000000195","ENG0000000195","1/17/2022 12:00:00 AM"
"196","196","T196ABC","Hyundai","Noah","White","2004","CHS0000000196","ENG0000000196","4/16/2025 12:00:00 AM"
"197","197","T197ABC","Ford","Canter","Black","2005","CHS0000000197","ENG0000000197","10/24/2021 12:00:00 AM"
"198","198","T198ABC","Hyundai","Rio","Green","2006","CHS0000000198","ENG0000000198","9/11/2024 12:00:00 AM"
"199","199","T199ABC","Ford","Canter","Gray","2007","CHS0000000199","ENG0000000199","1/30/2022 12:00:00 AM"
"200","200","T200ABC","Volkswagen","Noah","Black","2008","CHS0000000200","ENG0000000200","4/8/2020 12:00:00 AM"
"201","201","T201ABC","Hyundai","Polo","Gray","2009","CHS0000000201","ENG0000000201","5/15/2024 12:00:00 AM"
"202","202","T202ABC","Hyundai","Alto","Red","2010","CHS0000000202","ENG0000000202","5/18/2021 12:00:00 AM"
"203","203","T203ABC","Toyota","RAV4","White","2011","CHS0000000203","ENG0000000203","11/25/2021 12:00:00 AM"
"204","204","T204ABC","Suzuki","Vitz","White","2012","CHS0000000204","ENG0000000204","3/16/2025 12:00:00 AM"
"205","205","T205ABC","Honda","RAV4","Gray","2013","CHS0000000205","ENG0000000205","1/20/2021 12:00:00 AM"
"206","206","T206ABC","Mitsubishi","Canter","Blue","2014","CHS0000000206","ENG0000000206","3/27/2025 12:00:00 AM"
"207","207","T207ABC","Nissan","RAV4","Red","2015","CHS0000000207","ENG0000000207","11/26/2024 12:00:00 AM"
"208","208","T208ABC","Ford","RAV4","White","2016","CHS0000000208","ENG0000000208","12/9/2025 12:00:00 AM"
"209","209","T209ABC","Kia","Canter","Blue","2017","CHS0000000209","ENG0000000209","3/6/2020 12:00:00 AM"
"210","210","T210ABC","Suzuki","RAV4","Green","2018","CHS0000000210","ENG0000000210","6/16/2020 12:00:00 AM"
"211","211","T211ABC","Hyundai","Hilux","Silver","2019","CHS0000000211","ENG0000000211","3/12/2023 12:00:00 AM"
"212","212","T212ABC","Kia","Alto","Black","2020","CHS0000000212","ENG0000000212","5/14/2025 12:00:00 AM"
"213","213","T213ABC","Suzuki","Rio","Gray","2021","CHS0000000213","ENG0000000213","8/29/2022 12:00:00 AM"
"214","214","T214ABC","Suzuki","Noah","Gray","2022","CHS0000000214","ENG0000000214","2/10/2022 12:00:00 AM"
"215","215","T215ABC","Isuzu","Polo","Blue","2023","CHS0000000215","ENG0000000215","7/13/2023 12:00:00 AM"
"216","216","T216ABC","Kia","Polo","Red","2000","CHS0000000216","ENG0000000216","12/17/2023 12:00:00 AM"
"217","217","T217ABC","Mitsubishi","Corolla","Black","2001","CHS0000000217","ENG0000000217","2/11/2025 12:00:00 AM"
"218","218","T218ABC","Mitsubishi","Corolla","Black","2002","CHS0000000218","ENG0000000218","1/14/2021 12:00:00 AM"
"219","219","T219ABC","Mitsubishi","Vitz","Silver","2003","CHS0000000219","ENG0000000219","3/24/2021 12:00:00 AM"
"220","220","T220ABC","Isuzu","Corolla","Green","2004","CHS0000000220","ENG0000000220","12/14/2022 12:00:00 AM"
"221","221","T221ABC","Kia","Vitz","Black","2005","CHS0000000221","ENG0000000221","2/28/2024 12:00:00 AM"
"222","222","T222ABC","Ford","Alto","Blue","2006","CHS0000000222","ENG0000000222","3/28/2024 12:00:00 AM"
"223","223","T223ABC","Hyundai","Hilux","Gray","2007","CHS0000000223","ENG0000000223","8/5/2023 12:00:00 AM"
"224","224","T224ABC","Hyundai","RAV4","Silver","2008","CHS0000000224","ENG0000000224","5/31/2020 12:00:00 AM"
"225","225","T225ABC","Honda","Canter","Silver","2009","CHS0000000225","ENG0000000225","2/20/2025 12:00:00 AM"
"226","226","T226ABC","Isuzu","Canter","Blue","2010","CHS0000000226","ENG0000000226","7/25/2022 12:00:00 AM"
"227","227","T227ABC","Honda","Alto","White","2011","CHS0000000227","ENG0000000227","5/17/2024 12:00:00 AM"
"228","228","T228ABC","Kia","Canter","White","2012","CHS0000000228","ENG0000000228","4/12/2021 12:00:00 AM"
"229","229","T229ABC","Kia","Corolla","Red","2013","CHS0000000229","ENG0000000229","9/28/2020 12:00:00 AM"
"230","230","T230ABC","Suzuki","Polo","White","2014","CHS0000000230","ENG0000000230","4/13/2024 12:00:00 AM"
"231","231","T231ABC","Honda","Alto","White","2015","CHS0000000231","ENG0000000231","5/1/2021 12:00:00 AM"
